"datetime","artist","title"
"2024-02-23 13:35:44","Nviiri The Storyteller","Kesi Baadae"
"2024-02-24 01:59:07","Bayanni","Ta Ta Ta"
"2024-02-23 23:38:52","Charisma","Sina Noma"
"2024-02-24 17:19:49","Victony","Everything"
"2024-02-24 00:39:31","Elani","Kookoo"
"2024-02-24 00:44:22","Bridget Blue","Kesho"
"2024-02-24 01:31:18","YoZoWo","Motion (feat. Kinoti)"
"2024-02-24 00:32:00","Bensoul & Bien","Navutishwa"
"2024-02-24 01:50:15","Burna Boy","Last Last"
"2024-02-22 21:09:34","ItsYaba","Yaba (Kizangila)"
"2024-02-24 17:11:29","Shekhinah","Suited"
"2024-02-24 00:16:05","Fena Gitu & Okello Max","Pogna Matin"
"2024-02-24 00:57:24","Blackfacenaija","African Queen (MKD Remix) [feat. 2face]"
"2024-02-24 01:51:24","DJ Fame & Dammie","""Dammie Fire & Friends Mix, Pt. 7"""
"2024-02-24 01:03:59","Bensoul","Favorite Song"
"2024-02-24 01:02:41","ELEMENT EleéeH","FOU DE TOi (feat. Ross Kana & Bruce Melodie)"
"2024-02-24 01:41:54","Dj A6IX","Run Up"
"2024-02-23 23:02:37","Rihanna","Kiss It Better (R3hab Remix)"
"2024-02-23 13:57:37","Willy Paul & Jovial","Lalala"
"2024-02-24 01:30:16","H_art the Band","Ukimwona"
"2024-02-22 20:50:23","Sisi Ni Wale","Phina"
"2024-02-24 17:08:26","Blaq Diamond","Summer YoMuthi"
"2024-02-24 00:22:30","Maud Elka","Songi Songi (feat. Hiro)"
"2024-02-23 22:45:49","Dj majisu","Best of Harmonize  Made of Us Mix 2023"
"2024-02-24 01:46:01","Dj djacky mix","AUTOMOTIVO EXTRADIMENSIONAL ERIK JP  DJ DJACKY MIX"
"2024-02-24 00:41:33","Gilad","Sema Milele"
"2024-02-23 22:44:46","Guchi & Loud Behaviour","Notice Me"
"2024-02-24 01:37:13","Matata","This Love"
"2024-02-23 23:44:37","Dj Element","Volume One"
"2024-02-24 01:48:58","Blaqbonez","Like Ice Spice"
"2024-02-24 00:05:30","""De Mthuda, Da Muziqal Chef & Eemoh""","Sgudi Snyc"
"2024-02-22 21:21:51","Ssaru","Rhumba Ya Ssaru (feat. Charisma)"
"2024-02-24 01:58:06","Wakadinali","Sikutambui"
"2024-02-22 21:22:55","Bensoul & Bien","Navutishwa"
"2024-02-24 01:40:52","Nviiri The Storyteller & Bensoul","Blessings"
"2024-02-24 00:58:25","P-Square","Temptation"
"2024-02-24 00:34:14","H_art the Band","Na Bado (Thursday) [feat. Nyashinski]"
"2024-02-23 13:38:51","Blackfacenaija","African Queen (Radio Edit) [feat. 2face]"
